ts,asset,funding_hourly_pct,funding_apy_pct,oi_usd,side,breakeven_days,net_apy_30d_pct,actionable
2026-06-25T06:30:37.635051+00:00,PUMP,0.00125,10.95,24843370,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,XPL,0.00125,10.95,32841054,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,WLFI,0.00125,10.95,10975186,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,LINEA,0.00125,10.95,1463836,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,SKY,-0.00229,-20.04,1636846,long_perp+spot_short,3.64,17.6,1
2026-06-25T06:30:37.635051+00:00,ASTER,0.00125,10.95,24407185,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,STBL,0.00125,10.95,2182945,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,HEMI,0.00125,10.95,1262548,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,APEX,0.00125,10.95,1356576,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,ZEC,0.00125,10.95,174969143,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,MON,0.00125,10.95,24117151,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,MET,0.00125,10.95,2714338,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,MEGA,0.00125,10.95,6101544,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,CC,-0.0071,-62.22,4903951,long_perp+spot_short,1.17,59.78,1
2026-06-25T06:30:37.635051+00:00,ICP,0.00125,10.95,1778063,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,AERO,0.00125,10.95,13146806,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,STABLE,-0.00217,-19.04,2013895,long_perp+spot_short,3.83,16.61,1
2026-06-25T06:30:37.635051+00:00,LIT,0.00125,10.95,66821821,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,XMR,0.00125,10.95,44671005,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,CHIP,-0.02246,-196.71,3124824,long_perp+spot_short,0.37,194.28,1
